ffmpeg4.4 4.4.6-5
ffmpegthumbnailer 2.3.0-1
fftw 3.3.10-8
file 5.47-3
file-roller 44.6-2
filesystem 2025.10.12-1
findutils 4.10.0-3
firefox 150.0-1
flac 1.5.0-1
flashrom 1.7.0-1
flatpak 1:1.16.6-1
flatpak-kcm 6.6.4-1
flex 2.6.4-6
fluidsynth 2.5.3-2
fmt 12.1.0-2
foliate 3.3.0-2
folks 0.15.12-1
fontconfig 2:2.17.1-1
foundry 1.1.1-1
frameworkintegration 6.25.0-1
freeglut 3.8.0-1
freerdp 2:3.24.2-1
freetype2 2.14.3-1
frei0r-plugins 3.1.1-1
fribidi 1.0.16-2
fuse-common 3.18.2-1
fuse2 2.9.9-5
fuse3 3.18.2-1
fwupd 2.1.1-4
fwupd-efi 1.8-2
fzf 0.71.0-1
gamemode 1.8.2-2
gamescope 3.16.23-1
gamescope-session-git r339.b5c2d0d-1
gamescope-session-steam-git r13.d9412bf-1
gavl 2.0.1-1
gawk 5.4.0-1
gc 8.2.12-1
gcc 15.2.1+r604+g0b99615a8aef-1
gcc-libs 15.2.1+r604+g0b99615a8aef-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-9
gdb 17.1-3
gdb-common 17.1-3
gdbm 1.26-2
gdk-pixbuf2 2.44.6-2
gdm 50.0-2
gegl 0.4.70-2
gemini-cli-git 1:r5929.g42587de733-1
geoclue 2.8.0-2
geocode-glib 3.26.4-6
gettext 1.0-2
gexiv2 0.16.0-2
gfxstream 0.1.2-2
ghex 50.0-1
ghostscript 10.07.0-1
ghostty 1.3.1-2
ghostty-shell-integration 1.3.1-2
ghostty-terminfo 1.3.1-2
giflib 6.1.3-1
gimp 3.2.4-1
git 2.54.0-1
github-cli 2.91.0-3
gjs 2:1.88.0-1
glew 2.3.1-1
glfw 1:3.4-1
glib-networking 1:2.80.1-1
glib2 2.88.0-1
glib2-docs 2.88.0-1
glibc 2.43+r22+g8362e8ce10b2-1
glibmm 2.66.8-1
glibmm-2.68 2.88.0-1
glm 1.0.3-1
glslang 1:1.4.341.0-2
glu 9.0.3-3
glycin 2.1.1-1
glycin-gtk4 2.1.1-1
gmp 6.3.0-3
gnome-app-list 3.0-1
gnome-autoar 0.4.5-1
gnome-backgrounds 50.0-1
gnome-bluetooth-3.0 47.2-1
gnome-boxes 50.0-1
gnome-builder 50.0-1
gnome-calculator 50.0-1
gnome-calendar 50.0-1
gnome-calls 50.0-2
gnome-characters 50.0-1
gnome-chess 50.0-1
gnome-clocks 50.0-2
gnome-color-manager 3.36.2-1
gnome-connections 50.0-1
gnome-console 50.0-1
gnome-contacts 50.0-1
gnome-control-center 50.1-1
gnome-desktop 1:44.5-1
gnome-desktop-4 1:44.5-1
gnome-desktop-common 1:44.5-1
gnome-disk-utility 46.1-2
gnome-font-viewer 50.0-1
gnome-keybindings 50.1-1
gnome-keyring 1:50.0-1
gnome-logs 50.0-1
gnome-mahjongg 49.1.1-1
gnome-maps 50.1-1
gnome-menus 3.38.1-1
gnome-mines 50.0-1
gnome-music 1:49.1-2
gnome-nibbles 4.5.1-1
gnome-online-accounts 3.58.1-1
gnome-remote-desktop 50.1-1
gnome-robots 50.0-1
gnome-session 50.0-1
gnome-settings-daemon 50.1-1
gnome-shell 1:50.1-1
gnome-software 50.1-1
gnome-sound-recorder 42.0-5
gnome-sudoku 50.1-1
gnome-system-monitor 50.0-1
gnome-text-editor 50.0-1
gnome-themes-extra 1:3.28-1
gnome-tour 50.0-1
gnome-tweaks 49.0-2
gnome-user-docs 50.0-1
gnome-user-share 48.2-1
gnome-weather 50.0-1
gnu-free-fonts 20120503-9
gnulib-l10n 20241231-1
gnupg 2.4.9-1
gnutls 3.8.12-2
gobject-introspection 1.86.0-2
gobject-introspection-runtime 1.86.0-2
gocryptfs 2.6.1-1
godot 4.6.2-1
gom 0.5.6-1
gperftools 2.18.1-1
gpgme 2.0.1-3
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.27.5-1
gpu-screen-recorder 5.13.2-1
graphene 1.10.8-2
graphite 1:1.3.14-6
graphviz 14.1.5-1
grep 3.12-2
grilo 0.3.19-2
grilo-plugins 1:0.3.18-3
grim 1.5.0-2
groff 1.24.1-1
grub 2:2.14-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsfonts 20200910-6
gsm 1.0.24-1
gsound 1.0.3-4
gspell 1.14.3-1
gssdp 1.6.4-1
gst-devtools-libs 1.28.2-1
gst-editing-services 1.28.2-1
gst-libav 1.28.2-1
gst-plugin-gtk 1.28.2-1
gst-plugin-gtk4 0.15.1-1
gst-plugin-pipewire 1:1.6.4-1
gst-plugins-bad 1.28.2-1
gst-plugins-bad-libs 1.28.2-1
gst-plugins-base 1.28.2-1
gst-plugins-base-libs 1.28.2-1
gst-plugins-good 1.28.2-1
gst-python 1.28.2-1
gstreamer 1.28.2-1
gtest 1.17.0-2
gtk-doc 1.36.1-1
gtk-layer-shell 0.10.1-1
gtk-update-icon-cache 1:4.22.2-1
gtk-vnc 1.5.0-1
gtk3 1:3.24.52-1
gtk4 1:4.22.2-1
gtk4-layer-shell 1.3.0-1
gtkmm-4.0 4.22.0-1
gtkmm3 3.24.10-1
gtksourceview3 1:3.24.11+r30+gd880929f-1
gtksourceview4 4.8.4-2
gtksourceview5 5.20.0-1
gts 0.7.6.121130-5
guile 3.0.11-1
gum 0.17.0-1
gupnp 1:1.6.9-1
gupnp-av 0.14.4-1
gupnp-dlna 0.12.0-4
gupnp-igd 1.6.0-2
gvfs 1.60.0-2
gvfs-afc 1.60.0-2
gvfs-dnssd 1.60.0-2
gvfs-goa 1.60.0-2
gvfs-gphoto2 1.60.0-2
gvfs-mtp 1.60.0-2
gvfs-nfs 1.60.0-2
gvfs-onedrive 1.60.0-2
gvfs-smb 1.60.0-2
gvfs-wsdd 1.60.0-2
gweather-locations 2026.2-1
gzip 1.14-2
harfbuzz 14.2.0-1
harfbuzz-icu 14.2.0-1
heroic-games-launcher-bin 2.21.0-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-2
htop 3.5.0-1
hugo 0.160.1-1
hunspell 1.7.2-3
hwdata 0.406-1
hwloc 2.13.0-1
hyphen 2.8.8-6
hyprcursor 0.1.13-5
hyprgraphics 0.5.1-1
hypridle 0.1.7-8
hyprland 0.54.3-2
hyprland-guiutils 0.2.1-3
hyprland-preview-share-picker 0.2.1-1
hyprlang 0.6.8-3
hyprlock 0.9.5-1
hyprpicker 0.4.6-3
hyprsunset 0.3.3-6
hyprtoolkit 0.5.3-2
hyprutils 0.12.0-1
hyprwayland-scanner 0.4.5-1
hyprwire 0.3.0-2
i2c-tools 4.4-4
i3-wm 4.25.1-1
i3status 2.15-1
iana-etc 20260409-1
ibus 1.5.33-3
icoextract 0.2.0-4
icu 78.3-1
icu77 77.1-3
iio-sensor-proxy 3.9-1
ijs 0.35-7
imagemagick 7.1.2.21-1
imath 3.2.2-4
imlib2 1.12.6-1
impala 0.7.4-1
imv 5.0.1-1
inetutils 2.7-2
iniparser 4.2.6-2
insomnia 12.5.0-1
intel-ucode 20260227-1
inxi 3.3.40.1-1
iproute2 7.0.0-1
iptables 1:1.8.13-1
